latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
32.37348,-101.84676,322.46,0.4,0.37,2025-08-07,830,N,VIIRS,n,2,295.71,1.45,N,2
32.20973,-101.93499,332.66,0.41,0.45,2025-08-08,812,N,VIIRS,n,2,294.39,2.65,N,0
32.21019,-101.93942,309.96,0.41,0.45,2025-08-08,812,N,VIIRS,n,2,294.44,2.65,N,0
32.21388,-101.93436,334.1,0.41,0.45,2025-08-08,812,N,VIIRS,n,2,297.98,7.08,N,0
32.21434,-101.93878,338.63,0.41,0.45,2025-08-08,812,N,VIIRS,n,2,296.03,7.08,N,0
32.25289,-101.86079,310.57,0.39,0.59,2025-08-09,753,N,VIIRS,n,2,294.76,1.58,N,0
32.25281,-101.85699,311.35,0.57,0.69,2025-08-09,933,N,VIIRS,n,2,292.84,1.62,N,0
32.32959,-101.82971,353.89,0.34,0.56,2025-08-09,1911,N,VIIRS,n,2,309.07,4.75,D,2
32.22891,-101.75738,303.73,0.72,0.76,2025-08-10,734,N,VIIRS,n,2,291.99,0.6,N,0
32.25351,-101.85874,303.54,0.73,0.76,2025-08-10,734,N,VIIRS,n,2,291.72,1.8,N,0
32.22707,-101.75813,307.76,0.62,0.54,2025-08-10,914,N,VIIRS,n,2,294,1.13,N,0
32.22804,-101.75771,308.72,0.62,0.54,2025-08-10,914,N,VIIRS,n,2,293.7,0.53,N,0
32.24999,-101.85587,313.85,0.62,0.54,2025-08-10,914,N,VIIRS,n,2,293.32,1.82,N,0
32.25158,-101.85516,309.27,0.62,0.54,2025-08-10,914,N,VIIRS,n,2,293.28,0.89,N,0
